id,word_ko,word_en,word_jp,meaning_ko,meaning_en,meaning_jp,sentence_ko,sentence_en,sentence_jp,difficulty,category
36,컨테이너,Container,コンテナ,애플리케이션을 격리하여 실행하는 기술,Technology to run applications in isolation,アプリケーションを隔離して実行する技術,Docker는 ___ 기술의 표준입니다.,Docker is the standard for ___ technology.,Dockerは___技術の標準です。,4,dev_infra
37,마이크로서비스,Microservice,マイクロサービス,작은 단위로 분리된 서비스 아키텍처,An architecture of services separated into small units,小さな単位に分離されたサービスアーキテクチャ,___로 확장성을 높입니다.,We increase scalability with ___.,___で拡張性を高めます。,5,dev_architecture
38,백엔드,Backend,バックエンド,서버 측 로직을 처리하는 부분,The part that handles server-side logic,サーバー側のロジックを処理する部分,___개발자가 API를 만듭니다.,___ developers create APIs.,___開発者がAPIを作ります。,2,dev_basic
39,프론트엔드,Frontend,フロントエンド,사용자가 보는 화면을 구성하는 부분,The part that composes what users see,ユーザーが見る画面を構成する部分,___는 사용자 경험을 담당합니다.,___ is responsible for user experience.,___はユーザー体験を担当します。,2,dev_basic
40,데이터베이스,Database,データベース,데이터를 체계적으로 저장하는 시스템,A system that systematically stores data,データを体系的に保存するシステム,___에서 정보를 조회합니다.,We query information from the ___.,___から情報を照会します。,2,dev_basic
41,트랜스포머,Transformer,トランスフォーマー,어텐션 메커니즘 기반의 AI 모델 구조,An AI model structure based on attention mechanism,アテンションメカニズムに基づくAIモデル構造,GPT는 ___ 아키텍처를 사용합니다.,GPT uses the ___ architecture.,GPTは___アーキテクチャを使用します。,5,ai_model
42,어텐션,Attention,アテンション,중요한 정보에 집중하는 메커니즘,A mechanism that focuses on important information,重要な情報に集中するメカニズム,___메커니즘이 번역 품질을 높입니다.,The ___ mechanism improves translation quality.,___メカニズムが翻訳品質を高めます。,5,ai_concept
43,파라미터,Parameter,パラメータ,모델이 학습하는 조절 가능한 값,Adjustable values that the model learns,モデルが学習する調整可能な値,GPT-4는 수조 개의 ___를 가집니다.,GPT-4 has trillions of ___.,GPT-4は数兆の___を持っています。,4,ai_concept
44,에포크,Epoch,エポック,전체 데이터셋을 한 번 학습하는 단위,A unit of training through the entire dataset,全データセットを一回学習する単位,10 ___동안 학습을 진행합니다.,We train for 10 ___.,10___の間学習を進めます。,4,ai_training
45,배치,Batch,バッチ,한 번에 처리하는 데이터 묶음,A bundle of data processed at once,一度に処理するデータの束,___크기가 학습 속도에 영향을 줍니다.,___ size affects training speed.,___サイズが学習速度に影響します。,3,ai_training
46,손실함수,Loss Function,損失関数,모델 예측의 오차를 계산하는 함수,A function that calculates prediction errors,モデル予測の誤差を計算する関数,___를 최소화하도록 학습합니다.,We train to minimize the ___.,___を最小化するように学習します。,5,ai_concept
47,최적화,Optimization,最適化,최선의 결과를 찾는 과정,The process of finding the best results,最善の結果を見つけるプロセス,___알고리즘이 학습을 가속화합니다.,___ algorithms accelerate learning.,___アルゴリズムが学習を加速します。,4,ai_process
48,편향,Bias,バイアス,데이터나 모델의 치우침,Skewness in data or models,データやモデルの偏り,AI의 ___문제를 해결해야 합니다.,We need to solve AI ___ problems.,AIの___問題を解決する必要があります。,4,ai_problem
49,레이블,Label,ラベル,데이터에 붙이는 정답 태그,Answer tags attached to data,データに付ける正解タグ,___이 있는 데이터가 필요합니다.,Data with ___ is needed.,___のあるデータが必要です。,3,ai_data
50,전처리,Preprocessing,前処理,데이터를 학습에 적합하게 가공하는 과정,The process of preparing data for training,データを学習に適するように加工するプロセス,___가 모델 성능에 큰 영향을 미칩니다.,___ greatly affects model performance.,___がモデル性能に大きく影響します。,4,ai_process
51,멀티모달,Multimodal,マルチモーダル,여러 종류의 데이터를 함께 처리하는 방식,A method of processing multiple types of data together,複数種類のデータを一緒に処理する方式,GPT-4는 ___AI입니다.,GPT-4 is a ___ AI.,GPT-4は___AIです。,4,ai_type
52,파이썬,Python,Python,AI 개발에 널리 사용되는 프로그래밍 언어,A programming language widely used in AI development,AI開発に広く使用されるプログラミング言語,___은 AI 개발의 표준 언어입니다.,___ is the standard language for AI development.,___はAI開発の標準言語です。,1,dev_language
53,자바스크립트,JavaScript,JavaScript,웹 개발에 사용되는 프로그래밍 언어,A programming language used in web development,Web開発に使用されるプログラミング言語,___로 웹 애플리케이션을 만듭니다.,We build web applications with ___.,___でWebアプリケーションを作ります。,2,dev_language
54,오픈소스,Open Source,オープンソース,소스 코드가 공개된 소프트웨어,Software with publicly available source code,ソースコードが公開されたソフトウェア,많은 AI 도구가 ___입니다.,Many AI tools are ___.,多くのAIツールは___です。,2,dev_concept
55,클러스터링,Clustering,クラスタリング,유사한 데이터를 그룹으로 묶는 기법,A technique for grouping similar data,類似データをグループにまとめる技法,___으로 고객을 세분화합니다.,We segment customers with ___.,___で顧客をセグメント化します。,4,ai_technique
56,분류,Classification,分類,데이터를 카테고리로 나누는 작업,The task of dividing data into categories,データをカテゴリに分ける作業,스팸 필터는 ___문제입니다.,Spam filtering is a ___ problem.,スパムフィルターは___問題です。,3,ai_technique
57,회귀,Regression,回帰,연속적인 값을 예측하는 작업,The task of predicting continuous values,連続的な値を予測する作業,주가 예측은 ___문제입니다.,Stock prediction is a ___ problem.,株価予測は___問題です。,4,ai_technique
58,정확도,Accuracy,精度,올바른 예측의 비율,The ratio of correct predictions,正しい予測の割合,모델의 ___가 98%입니다.,The model's ___ is 98%.,モデルの___は98%です。,3,ai_metric
59,재현율,Recall,再現率,실제 양성 중 올바르게 예측한 비율,The ratio correctly predicted among actual positives,実際の陽性の中で正しく予測した割合,의료 AI는 높은 ___가 중요합니다.,High ___ is important for medical AI.,医療AIには高い___が重要です。,5,ai_metric
60,정밀도,Precision,精度,예측한 양성 중 실제 양성의 비율,The ratio of actual positives among predicted positives,予測した陽性の中で実際の陽性の割合,스팸 필터는 높은 ___가 필요합니다.,Spam filters need high ___.,スパムフィルターには高い___が必要です。,5,ai_metric
61,클로드,Claude,Claude,Anthropic이 개발한 대화형 AI 모델,A conversational AI model developed by Anthropic,Anthropicが開発した対話型AIモデル,___는 긴 대화를 잘 이해합니다.,___ understands long conversations well.,___は長い会話をよく理解します。,2,ai_model
62,지피티,GPT,GPT,OpenAI의 생성형 언어 모델,OpenAI's generative language model,OpenAIの生成言語モデル,___-4는 다양한 작업을 수행합니다.,___-4 performs various tasks.,___-4は様々なタスクを実行します。,2,ai_model
63,제미나이,Gemini,Gemini,Google의 멀티모달 AI 모델,Google's multimodal AI model,GoogleのマルチモーダルAIモデル,___는 이미지와 텍스트를 함께 처리합니다.,___ processes images and text together.,___は画像とテキストを一緒に処理します。,3,ai_model
64,미드저니,Midjourney,Midjourney,텍스트로 이미지를 생성하는 AI,An AI that generates images from text,テキストで画像を生成するAI,___로 예술 작품을 만듭니다.,We create artwork with ___.,___で芸術作品を作ります。,2,ai_model
65,스테이블디퓨전,Stable Diffusion,Stable Diffusion,오픈소스 이미지 생성 AI 모델,An open-source image generation AI model,オープンソース画像生成AIモデル,___은 로컬에서 실행 가능합니다.,___ can run locally.,___はローカルで実行可能です。,3,ai_model
66,달리,DALL-E,DALL-E,OpenAI의 이미지 생성 AI,OpenAI's image generation AI,OpenAIの画像生成AI,___로 창의적인 이미지를 만듭니다.,We create creative images with ___.,___で創造的な画像を作ります。,2,ai_model
67,리액트,React,React,페이스북이 만든 UI 라이브러리,A UI library created by Facebook,Facebookが作ったUIライブラリ,___로 인터랙티브한 웹을 만듭니다.,We build interactive webs with ___.,___でインタラクティブなWebを作ります。,3,dev_framework
68,뷰,Vue,Vue,프로그레시브 자바스크립트 프레임워크,A progressive JavaScript framework,プログレッシブJavaScriptフレームワーク,___는 배우기 쉬운 프레임워크입니다.,___ is an easy-to-learn framework.,___は学びやすいフレームワークです。,3,dev_framework
69,앵귤러,Angular,Angular,구글이 만든 웹 프레임워크,A web framework created by Google,Googleが作ったWebフレームワーク,___는 엔터프라이즈 앱에 적합합니다.,___ is suitable for enterprise apps.,___はエンタープライズアプリに適しています。,4,dev_framework
70,노드,Node,Node,자바스크립트 실행 환경,A JavaScript runtime environment,JavaScript実行環境,___로 서버를 구축합니다.,We build servers with ___.,___でサーバーを構築します。,3,dev_runtime
71,타입스크립트,TypeScript,TypeScript,타입을 추가한 자바스크립트,JavaScript with added types,型を追加したJavaScript,___로 안전한 코드를 작성합니다.,We write safe code with ___.,___で安全なコードを作成します。,3,dev_language
72,그리드,Grid,Grid,2차원 레이아웃 시스템,A two-dimensional layout system,2次元レイアウトシステム,CSS ___로 복잡한 레이아웃을 만듭니다.,We create complex layouts with CSS ___.,CSS___で複雑なレイアウトを作ります。,4,dev_css
73,플렉스박스,Flexbox,Flexbox,1차원 레이아웃 모델,A one-dimensional layout model,1次元レイアウトモデル,___로 요소를 정렬합니다.,We align elements with ___.,___で要素を整列します。,3,dev_css
74,반응형,Responsive,レスポンシブ,다양한 화면 크기에 대응하는 디자인,Design that adapts to various screen sizes,様々な画面サイズに対応するデザイン,___웹은 모바일에서도 잘 보입니다.,___ web looks good on mobile too.,___Webはモバイルでもよく見えます。,3,dev_design
75,페이지네이션,Pagination,ページネーション,데이터를 페이지로 나누는 기법,A technique to divide data into pages,データをページに分ける技法,___으로 대량 데이터를 표시합니다.,We display large data with ___.,___で大量データを表示します。,3,dev_feature
76,깃,Git,Git,분산 버전 관리 시스템,A distributed version control system,分散バージョン管理システム,___으로 코드 변경을 추적합니다.,We track code changes with ___.,___でコード変更を追跡します。,2,dev_tool
77,깃허브,GitHub,GitHub,Git 기반 협업 플랫폼,A Git-based collaboration platform,Gitベースの協業プラットフォーム,___에서 오픈소스를 공유합니다.,We share open source on ___.,___でオープンソースを共有します。,2,dev_platform
78,도커,Docker,Docker,컨테이너 가상화 플랫폼,A container virtualization platform,コンテナ仮想化プラットフォーム,___로 일관된 환경을 제공합니다.,We provide consistent environment with ___.,___で一貫した環境を提供します。,4,dev_tool
79,쿠버네티스,Kubernetes,Kubernetes,컨테이너 오케스트레이션 도구,A container orchestration tool,コンテナオーケストレーションツール,___로 대규모 배포를 관리합니다.,We manage large-scale deployment with ___.,___で大規模デプロイを管理します。,5,dev_tool
80,웹팩,Webpack,Webpack,모듈 번들러 도구,A module bundler tool,モジュールバンドラーツール,___로 자바스크립트를 최적화합니다.,We optimize JavaScript with ___.,___でJavaScriptを最適化します。,4,dev_tool
81,바이트,Vite,Vite,빠른 빌드 도구,A fast build tool,速いビルドツール,___는 개발 서버가 매우 빠릅니다.,___ has a very fast dev server.,___は開発サーバーが非常に速いです。,3,dev_tool
82,테일윈드,Tailwind,Tailwind,유틸리티 우선 CSS 프레임워크,A utility-first CSS framework,ユーティリティ優先CSSフレームワーク,___로 빠르게 스타일링합니다.,We style quickly with ___.,___で素早くスタイリングします。,3,dev_framework
83,부트스트랩,Bootstrap,Bootstrap,반응형 디자인 프레임워크,A responsive design framework,レスポンシブデザインフレームワーク,___로 빠르게 UI를 구축합니다.,We build UI quickly with ___.,___で素早くUIを構築します。,2,dev_framework
84,리덕스,Redux,Redux,상태 관리 라이브러리,A state management library,状態管理ライブラリ,___로 전역 상태를 관리합니다.,We manage global state with ___.,___でグローバル状態を管理します。,4,dev_library
85,넥스트,Next,Next,리액트 기반 풀스택 프레임워크,A React-based fullstack framework,Reactベースのフルスタックフレームワーク,___로 SEO 최적화된 웹을 만듭니다.,We create SEO-optimized web with ___.,___でSEO最適化されたWebを作ります。,4,dev_framework
86,넉스트,Nuxt,Nuxt,뷰 기반 프레임워크,A Vue-based framework,Vueベースのフレームワーク,___로 서버 사이드 렌더링을 합니다.,We do server-side rendering with ___.,___でサーバーサイドレンダリングをします。,4,dev_framework
87,라라벨,Laravel,Laravel,PHP 웹 프레임워크,A PHP web framework,PHP Webフレームワーク,___로 백엔드를 빠르게 개발합니다.,We develop backend quickly with ___.,___でバックエンドを素早く開発します。,4,dev_framework
88,장고,Django,Django,파이썬 웹 프레임워크,A Python web framework,Python Webフレームワーク,___는 관리자 페이지를 자동 생성합니다.,___ auto-generates admin pages.,___は管理者ページを自動生成します。,4,dev_framework
89,플라스크,Flask,Flask,경량 파이썬 웹 프레임워크,A lightweight Python web framework,軽量Python Webフレームワーク,___로 간단한 API를 만듭니다.,We create simple APIs with ___.,___でシンプルなAPIを作ります。,3,dev_framework
90,익스프레스,Express,Express,노드 기반 웹 프레임워크,A Node-based web framework,Nodeベースのwebフレームワーク,___로 RESTful API를 구축합니다.,We build RESTful API with ___.,___でRESTful APIを構築します。,3,dev_framework
91,몽고DB,MongoDB,MongoDB,NoSQL 문서 데이터베이스,A NoSQL document database,NoSQLドキュメントデータベース,___는 유연한 스키마를 제공합니다.,___ provides flexible schema.,___は柔軟なスキーマを提供します。,3,dev_database
92,포스트그레스,PostgreSQL,PostgreSQL,오픈소스 관계형 데이터베이스,An open-source relational database,オープンソース関係データベース,___는 복잡한 쿼리를 지원합니다.,___ supports complex queries.,___は複雑なクエリをサポートします。,4,dev_database
93,마이SQL,MySQL,MySQL,널리 사용되는 관계형 데이터베이스,A widely-used relational database,広く使用される関係データベース,___로 데이터를 안전하게 저장합니다.,We securely store data with ___.,___でデータを安全に保存します。,3,dev_database
94,레디스,Redis,Redis,인메모리 데이터 저장소,An in-memory data store,インメモリデータストア,___로 캐싱을 구현합니다.,We implement caching with ___.,___でキャッシングを実装します。,4,dev_database
95,그래프큐엘,GraphQL,GraphQL,API 쿼리 언어,An API query language,APIクエリ言語,___로 필요한 데이터만 요청합니다.,We request only needed data with ___.,___で必要なデータだけを要求します。,4,dev_api
96,레스트,REST,REST,웹 서비스 아키텍처 스타일,A web service architectural style,Webサービスアーキテクチャスタイル,___ API는 HTTP 메서드를 사용합니다.,___ API uses HTTP methods.,___ APIはHTTPメソッドを使用します。,3,dev_api
97,웹소켓,WebSocket,WebSocket,양방향 실시간 통신 프로토콜,A bidirectional real-time communication protocol,双方向リアルタイム通信プロトコル,___로 채팅 기능을 구현합니다.,We implement chat features with ___.,___でチャット機能を実装します。,4,dev_protocol
98,제이슨,JSON,JSON,데이터 교환 형식,A data interchange format,データ交換フォーマット,___으로 데이터를 전송합니다.,We transmit data with ___.,___でデータを送信します。,2,dev_format
99,에이잭스,AJAX,AJAX,비동기 웹 통신 기술,Asynchronous web communication technology,非同期Web通信技術,___로 페이지 새로고침 없이 데이터를 받습니다.,We receive data without page refresh with ___.,___でページリフレッシュなしでデータを受け取ります。,3,dev_technique
100,프로미스,Promise,Promise,비동기 작업 처리 객체,An object for handling asynchronous operations,非同期作業処理オブジェクト,___로 비동기 코드를 관리합니다.,We manage async code with ___.,___で非同期コードを管理します。,4,dev_concept
101,어싱크,Async,Async,비동기 함수 선언 키워드,A keyword for declaring async functions,非同期関数宣言キーワード,___/await로 비동기를 동기처럼 작성합니다.,We write async like sync with ___/await.,___/awaitで非同期を同期のように書きます。,4,dev_concept
102,젠킨스,Jenkins,Jenkins,지속적 통합 도구,A continuous integration tool,継続的統合ツール,___로 자동 배포를 설정합니다.,We set up auto deployment with ___.,___で自動デプロイを設定します。,4,dev_tool
103,카프카,Kafka,Kafka,분산 스트리밍 플랫폼,A distributed streaming platform,分散ストリーミングプラットフォーム,___로 실시간 데이터를 처리합니다.,We process real-time data with ___.,___でリアルタイムデータを処理します。,5,dev_tool
104,엘라스틱서치,Elasticsearch,Elasticsearch,분산 검색 엔진,A distributed search engine,分散検索エンジン,___로 빠른 검색을 제공합니다.,We provide fast search with ___.,___で速い検索を提供します。,4,dev_tool
105,엔지닉스,Nginx,Nginx,고성능 웹 서버,A high-performance web server,高性能Webサーバー,___로 정적 파일을 서빙합니다.,We serve static files with ___.,___で静的ファイルを配信します。,3,dev_server
106,아파치,Apache,Apache,오픈소스 웹 서버,An open-source web server,オープンソースWebサーバー,___는 가장 널리 사용되는 서버입니다.,___ is the most widely used server.,___は最も広く使用されるサーバーです。,3,dev_server
107,스웨거,Swagger,Swagger,API 문서화 도구,An API documentation tool,APIドキュメント化ツール,___로 API 명세를 작성합니다.,We write API specs with ___.,___でAPI仕様を作成します。,3,dev_tool
108,포스트맨,Postman,Postman,API 테스트 도구,An API testing tool,APIテストツール,___로 API를 테스트합니다.,We test APIs with ___.,___でAPIをテストします。,2,dev_tool
109,제스트,Jest,Jest,자바스크립트 테스트 프레임워크,A JavaScript testing framework,JavaScriptテストフレームワーク,___로 유닛 테스트를 작성합니다.,We write unit tests with ___.,___でユニットテストを作成します。,3,dev_testing
110,사이프레스,Cypress,Cypress,E2E 테스트 프레임워크,An E2E testing framework,E2Eテストフレームワーク,___로 UI 테스트를 자동화합니다.,We automate UI tests with ___.,___でUIテストを自動化します。,4,dev_testing
111,라마,LLaMA,LLaMA,메타의 오픈소스 LLM,Meta's open-source LLM,MetaのオープンソースLLM,___는 메타가 공개한 언어 모델입니다.,___ is a language model released by Meta.,___はMetaが公開した言語モデルです。,4,ai_model
112,미스트랄,Mistral,Mistral,유럽의 오픈소스 AI 모델,Europe's open-source AI model,ヨーロッパのオープンソースAIモデル,___는 프랑스의 AI 스타트업입니다.,___ is a French AI startup.,___はフランスのAIスタートアップです。,4,ai_model
113,안트로픽,Anthropic,Anthropic,클로드 개발사,Developer of Claude,Claudeの開発会社,___는 클로드를 만든 회사입니다.,___ is the company that created Claude.,___はClaudeを作った会社です。,3,ai_company
114,코히어,Cohere,Cohere,엔터프라이즈 AI 플랫폼,Enterprise AI platform,エンタープライズAIプラットフォーム,___는 기업용 AI 솔루션을 제공합니다.,___ provides enterprise AI solutions.,___は企業向けAIソリューションを提供します。,4,ai_company
115,허깅페이스,Hugging Face,Hugging Face,AI 모델 공유 플랫폼,AI model sharing platform,AIモデル共有プラットフォーム,___는 오픈소스 모델 허브입니다.,___ is an open-source model hub.,___はオープンソースモデルハブです。,3,ai_platform
116,텐서플로,TensorFlow,TensorFlow,구글의 ML 프레임워크,Google's ML framework,GoogleのMLフレームワーク,___는 딥러닝 프레임워크입니다.,___ is a deep learning framework.,___はディープラーニングフレームワークです。,3,ai_framework
117,파이토치,PyTorch,PyTorch,메타의 ML 프레임워크,Meta's ML framework,MetaのMLフレームワーク,___는 연구자들이 선호하는 프레임워크입니다.,___ is the preferred framework for researchers.,___は研究者が好むフレームワークです。,3,ai_framework
118,버트,BERT,BERT,구글의 언어 모델,Google's language model,Googleの言語モデル,___는 자연어 이해 모델입니다.,___ is a natural language understanding model.,___は自然言語理解モデルです。,4,ai_model
119,티파이브,T5,T5,텍스트 투 텍스트 모델,Text-to-text model,テキストtoテキストモデル,___는 구글의 언어 모델입니다.,___ is Google's language model.,___はGoogleの言語モデルです。,4,ai_model
120,일렉트라,ELECTRA,ELECTRA,효율적인 사전학습 모델,Efficient pre-training model,効率的な事前学習モデル,___는 BERT보다 효율적입니다.,___ is more efficient than BERT.,___はBERTより効率的です。,5,ai_model
121,알버트,ALBERT,ALBERT,경량화된 BERT 모델,Lightweight BERT model,軽量化されたBERTモデル,___는 파라미터가 적은 모델입니다.,___ is a model with fewer parameters.,___はパラメータが少ないモデルです。,5,ai_model
